 ,Area,Mean,Min,Max,Angle,Length
1,386.804,120.674,31.155,227.260,112.243,562.459
2,399.540,38.892,21.665,83.939,-30.569,580.706
3,418.881,99.846,28.375,195.948,95.042,609.502
4,400.012,84.476,23.747,151.369,-82.405,582.029
5,373.124,55.090,27.991,174.490,-9.916,542.443
6,361.332,54.663,27.667,141.970,120.116,525.625
7,332.557,70.738,25.818,170.121,0.651,483.548
8,358.030,87.954,30.362,208.727,119.407,520.342
9,314.160,72.894,28.533,168.150,118.184,456.610
10,350.011,133.788,26.341,247.682,14.224,508.728
11,345.765,59.103,25.330,210.571,8.329,502.554
